Paper ID	Concept	Codes
1	Total knee replacement	X6060, XE08w, XE08y, XE090, XE091, 7K30.00, 7K30.11, 7K30.13, 7K30.15, 7K30.16, 7K30.17, 7K30.18, 7K30.19, 7K30.1A, 7K30.1B, 7K30.1C, 7K30.1D, 7K30.1E, 7K30.1F, 7K30.1G, 7K30.1H, 7K30.1I, 7K30.1J, 7K30.1L, 7K30.1N, 7K30.1P, 7K30.1Q, 7K30.1R, 7K30.1S, 7K30.1T, 7K30.1V, 7K31.00, 7K31.12, 7K32.00, 7K32.12, 7K32000, 7K32011, K812, 7K30000, 7K30y00, 7K30z00, 7K31000, 7K31y00, 7K31z00, 7K32y00, 7K32z00
4	Polymyalgia rheumatica	N200.00, N20..11, N20..00
4	Giant cell arteritis	G755100, G755200, G755z00, G755.00, G755000, N200.00, Nyu4100
5	Colorectal cancer	B13..00, B141.00, B133.00, B134.00, B141.12, B131.00, B141.11, B130.00, B13z.11, B132.00, B136.00, B902500, B137.00, B902400, B134.11, B140.00, B13z.00, B14..00, B13y.00, B14z.00, B14y.00, B138.00, B1z0.11
7	Stevens–Johnson syndrome	M151700
7	Toxic epidermal necrolysis	M151.12, M151800, M151812, M151.11
11	Fragility fracture	7K1LF00, 7K1LM00, S22..00, S220.00, S220000, S220100, S220200, S220300, S220400, S220500, S220600, S220700, S220z00, S222.00, S222000, S222100, S222z00, S224.00
12	Dementia	Eu02.00, Eu02000, Eu02100, Eu02200, Eu02300, Eu02400, Eu02500, Eu02y00, Eu02z00, Eu02z11, Eu02z12, Eu02z13, Eu02z14, Eu02z15, Eu02z16, E00..12, E00..11, E00..00, E000.00, E001.00, E001000, E001100, E001200, E001300, E001z00, E002.00, E002000, E002100, E002z00, E003.00, E004.00, E004.11, E004000, E004100, E004200, E004300, E004z00, E00y.11, E00y.00, E00z.00, Eu01.00, Eu01.11, Eu01000, Eu01100, Eu01111, Eu01200, Eu01300, Eu01y00, Eu01z00, E02y100, E012.11, E012.00, Eu00.00, Eu00000, Eu00011, Eu00012, Eu00013, Eu00100, Eu00111, Eu00112, Eu00113, Eu00200, Eu00z11, Eu00z00, E041.00, Eu04100, F116.00, A411000, F110.00, F110000, F110100, F111.00, F112.00, A411011
